"submitted_name","accepted_name","Kingdom","Phylum","Class","Order","Family","Genus"
"Agaricus essettei","Agaricus sylvicola","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus"
"Agaricus semotus","Agaricus semotus","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus"
"Agrocybe erebia","Cyclocybe erebia","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tubariaceae","Cyclocybe"
"Alternaria alternata","Alternaria alternata","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria"
"Alternaria sp",NA,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria"
"Amanita ceciliae","Amanita ceciliae","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita"
"Amanita pantherina","Amanita pantherina","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita"
"Amanita rubescens","Amanita rubescens","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita"
"Ampulloclitocybe clavipes","Ampulloclitocybe clavipes","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Ampulloclitocybe"
"Armillaria cepistipes","Armillaria cepistipes","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria"
"Articulospora tetracladia","Hymenoscyphus tetracladius","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Hymenoscyphus"
"Aureobasidium pullulans","Aureobasidium pullulans","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium"
"Boeremia exigua","Boeremia exigua","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Boeremia"
"Botrytis aclada","Botrytis aclada","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Botrytis"
"Botrytis calthae","Botryotinia calthae","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Botryotinia"
"Botrytis cinerea","Botrytis cinerea","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Botrytis"
"Botrytis paeoniae","Botrytis paeoniae","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Botrytis"
"Botrytis porri","Botryotinia porri","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Botryotinia"
"Botrytis pseudocinerea","Botrytis pseudocinerea","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Botrytis"
"Botrytis ranunculi","Botryotinia ranunculi","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Botryotinia"
"Calocera cornea","Calocera cornea","Fungi","Basidiomycota","Dacrymycetes","Dacrymycetales","Dacrymycetaceae","Calocera"
