"","Phylum","Class","Order","Family","Genus","Species","MockStrain","Kingdom","ITS1","Si5"
"1","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus","Agaricus_essettei","Agaricus_essettei_M187_sanger","Fungi","Agaricus_essettei_M187_sangerITS1",NA
"2","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus","Agaricus_semotus","Agaricus_semotus_M72_EF460368_1_KF447894_1_sanger","Fungi","Agaricus_semotus_M72_EF460368_1_KF447894_1_sangerITS1","Agaricus_semotus_M72_EF460368_1_KF447894_1_sangerITS1Si5"
"3","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Agrocybe","Agrocybe_erebia","Agrocybe_erebia_M100_sanger","Fungi","Agrocybe_erebia_M100_sangerITS1","Agrocybe_erebia_M100_sangerITS1Si5"
"4","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria_alternata","Alternaria_alternata_MB15_H_tur_sanger","Fungi","Alternaria_sp_MIAE00096_KY436083_1_sangerITS1",NA
"5","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria_sp","Alternaria_sp_MIAE00096_KY436083_1_sanger","Fungi","Alternaria_sp_MIAE00096_KY436083_1_sangerITS1","Alternaria_sp_MIAE00096_KY436083_1_sangerITS1Si5"
"6","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria_sp","Alternaria_sp_MIAE00408_sanger","Fungi","Alternaria_sp_MIAE00408_sangerITS1","Alternaria_sp_MIAE00408_sangerITS1Si5"
"7","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Amanita_ceciliae","Amanita_ceciliae_M141_sanger","Fungi","Amanita_ceciliae_M141_sangerITS1","Amanita_ceciliae_M141_sangerITS1Si5"
"8","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Amanita_pantherina","Amanita_pantherina_M97_sanger","Fungi","Amanita_pantherina_M97_sangerITS1","Amanita_pantherina_M97_sangerITS1Si5"
"9","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Amanita_rubescens","Amanita_rubescens_M5_AJ889923_1_sanger","Fungi","Amanita_rubescens_M5_AJ889923_1_sangerITS1","Amanita_rubescens_M5_AJ889923_1_sangerITS1Si5"
"10","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Ampulloclitocybe","Ampulloclitocybe_clavipes","Ampulloclitocybe_clavipes_M94_AY789080_1_sanger","Fungi","Ampulloclitocybe_clavipes_M94_AY789080_1_sangerITS1","Ampulloclitocybe_clavipes_M94_AY789080_1_sangerITS1Si5"
"11","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria","Armillaria_cepistipes","Armillaria_cepistipes_M197_rm_sanger","Fungi","Armillaria_cepistipes_M197_rm_sangerITS1","Armillaria_cepistipes_M197_rm_sangerITS1Si5"
"12","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Articulospora","Articulospora_tetracladia","Articulospora_tetracladia_CBS_106_46-rm","Fungi","Articulospora_tetracladia_CBS_106_46-rmITS1","Articulospora_tetracladia_CBS_106_46-rmITS1Si5"
"13","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","Aureobasidium_pullulans","Aureobasidium_pullulans_MB15_A_pul_sanger","Fungi","Aureobasidium_pullulans_MB15_A_pul_sangerITS1","Aureobasidium_pullulans_MB15_A_pul_sangerITS1Si5"
"14","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Boeremia","Boeremia_exigua","Boeremia_exigua_MIAE01960_sanger","Fungi","Boeremia_exigua_MIAE01960_sangerITS1","Boeremia_exigua_MIAE01960_sangerITS1Si5"
"15","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Botrytis","Botrytis_aclada","Botrytis_aclada_MB15_B_acla_sanger","Fungi","Botrytis_aclada_MB15_B_acla_sangerITS1","Botrytis_aclada_MB15_B_acla_sangerITS1Si5"
"16","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Botrytis","Botrytis_calthae","Botrytis_calthae_MB15_B_cal2_sanger","Fungi","Botrytis_ranunculi_MB15_B_ran_sangerITS1",NA
"17","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Botrytis","Botrytis_cinerea","Botrytis_cinerea_MB15_B_cin1_sanger","Fungi","Botrytis_ranunculi_MB15_B_ran_sangerITS1",NA
"18","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Botrytis","Botrytis_cinerea","Botrytis_cinerea_MB15_B_cinS2_sanger","Fungi","Botrytis_ranunculi_MB15_B_ran_sangerITS1",NA
"19","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Botrytis","Botrytis_cinerea","Botrytis_cinerea_MB15_B_cinS4_sanger","Fungi","Botrytis_ranunculi_MB15_B_ran_sangerITS1",NA
"20","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Botrytis","Botrytis_paeoniae","Botrytis_paeoniae_MB15_B_pae_sanger","Fungi","Botrytis_paeoniae_MB15_B_pae_sangerITS1","Botrytis_paeoniae_MB15_B_pae_sangerITS1Si5"
"21","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Botrytis","Botrytis_porri","Botrytis_porri_MB15_B_por1_sanger","Fungi","Botrytis_porri_MB15_B_por1_sangerITS1","Botrytis_porri_MB15_B_por1_sangerITS1Si5"
