Kingdom,Phylum,Class,Order,Family,Genus,Species
Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,nigrifacta
Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,ustulata
Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,melitodes
Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactifluus,russulisporus
Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactifluus,caliendrifer
Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactifluus,bicapillus
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,loosei
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,alboadustus
Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,incarnata
Fungi,Basidiomycota,Atractiellomycetes,Atractiellales,Phleogenaceae,Helicogloea,sp
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Neoascochyta,paspali
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Nigrogranaceae,Nigrograna,sp
Fungi,Basidiomycota,Agaricomycetes,Phallales,Phallaceae,Phallus,sp
Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Sydowia,Sydowia_polyspora
Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Sporobolomyces,Sporobolomyces_roseus
Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleraceae,Bullera,Bullera_alba
