"submitted_name","accepted_name","Kingdom","Phylum","Class","Order","Family","Genus"
"Sidera americana","Sidera americana","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Rickenellaceae","Sidera"
"Pholiota gummosa","Pholiota gummosa","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Pholiota"
"Lactarius violascens","Lactarius violascens","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius"
"Lactarius luridus","Lactarius luridus","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius"
"Inocybe lacera","Inocybe lacera","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe"
"Cortinarius centrirufus","Cortinarius centrirufus","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius"
"Inocybe fuscidula","Inocybe fuscidula","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe"
"Cortinarius arcuatorum","Calonarius arcuatorum","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Calonarius"
"Cortinarius cliduchus","Phlegmacium cliduchus","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Phlegmacium"
"Inocybe metrodii","Inocybe metrodii","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe"
"Cortinarius safranopes","Cortinarius rubricosus","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius"
"Cortinarius majoranae","Phlegmacium majoranae","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Phlegmacium"
"Cortinarius variebulbus","Cortinarius variebulbus","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius"
"Cortinarius aurilicis","Phlegmacium aurilicis","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Phlegmacium"
"Cortinarius nanceiensis","Cortinarius nanceiensis","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius"
